Идентификатор объекта;Адрес недвижимости;Тип недвижимости;Площадь объекта;Цена;Количество комнат;Состояние объекта;Контактные данные собственника;Статус объекта;Дата добавления информации
72;д. Тырныауз, ш. Кошевого, д. 6 стр. 25, 630362;дом;157;16045530;5;новостройка;88491691000;продается;20.12.2022
73;ст. Тимашевск, наб. Красных Партизан, д. 2/2 к. 412, 831489;квартира;27;12688654;2;требует ремонта;77 235 832 012;продается;25.10.2021
74;ст. Октябрьский (Башк.), ул. Заводская, д. 628, 210141;дом;46;7456946;5;требует ремонта;88 135 783 084;продается;14.08.2020
75;с. Макаров, бул. Жуковского, д. 6/2 к. 47, 597073;дом;153;17152426;2;требует ремонта;77217659223;зарезервирован;13.06.2021
76;клх Омск, ул. Производственная, д. 485, 854387;квартира;59;7134773;3;новостройка;85 282 832 237;сдается;20.06.2022
77;ст. Тутончаны, ул. Орловская, д. 768, 141104;квартира;34;15774025;1;требует ремонта;89 978 859 630;сдается;23.06.2021
78;д. Карабулак, наб. Красина, д. 362, 110992;дом;199;11980109;3;требует ремонта;78 601 986 997;сдается;30.07.2020
79;к. Щельяюр, наб. Олега Кошевого, д. 221 стр. 89, 918348;дом;23;16805246;1;новостройка;8 (336) 549-0491;продается;03.04.2021
80;д. Красновишерск, ул. Каштановая, д. 7 к. 4, 677039;дом;26;9756901;2;требует ремонта;80 898 691 972;зарезервирован;01.04.2021
81;п. Партизанск, пр. Щербакова, д. 6 стр. 639, 544486;земельный участок;94;11954169;3;жилое;+7 (126) 246-82-87;продается;19.05.2023
82;с. Кирово-Чепецк, пр. Тукая, д. 9 к. 22, 570535;земельный участок;138;18552120;1;требует ремонта;8 (566) 907-63-41;зарезервирован;17.11.2020
83;ст. Малгобек, ул. Вольная, д. 6/8, 549330;квартира;45;10608150;2;требует ремонта;+7 (871) 100-35-17;продается;18.01.2023
84;ст. Лысьва, алл. Осенняя, д. 768 к. 7, 317989;квартира;192;16078126;4;жилое;+7 (463) 937-3873;зарезервирован;14.12.2021
85;г. Мирный, пр. Панфилова, д. 841 стр. 6/9, 730034;земельный участок;73;12472808;2;требует ремонта;+7 296 208 17 09;сдается;18.02.2021
86;к. Южно-Сахалинск, ш. Павлика Морозова, д. 2 к. 891, 169039;квартира;57;4298521;1;требует ремонта;88024732024;зарезервирован;22.01.2021
87;с. Адыгейск, алл. Металлистов, д. 7/8 стр. 433, 662639;земельный участок;35;4944942;4;новостройка;80 236 222 751;зарезервирован;11.11.2020
88;с. Малоярославец, алл. Астраханская, д. 2 к. 9, 369007;квартира;78;16352738;2;требует ремонта;8 121 603 47 68;продается;09.01.2023
89;ст. Старая Русса, пр. Строителей, д. 161, 510224;дом;89;9747214;5;требует ремонта;87197110269;зарезервирован;01.11.2021
90;д. Радужный, пер. Песчаный, д. 8/9, 500569;дом;71;15901819;5;жилое;8 (270) 450-7125;продается;23.09.2020
91;клх Баксан, пр. Новый, д. 1/8, 336976;квартира;176;15187050;5;требует ремонта;+7 (923) 301-47-81;зарезервирован;24.01.2023
92;ст. Новороссийка, ш. Плеханова, д. 2 к. 17, 034502;квартира;161;14313645;3;новостройка;+7 (896) 377-4461;сдается;15.12.2021
93;клх Моздок, пер. Марта 8, д. 8/2, 616235;земельный участок;146;4933646;2;требует ремонта;84276307393;продается;04.10.2022
94;п. Бомнак, алл. Крылова, д. 4/3 стр. 18, 962632;дом;86;19603674;2;требует ремонта;83 185 052 349;продается;29.10.2022
95;клх Троицк (Челяб.), наб. Ленинская, д. 5 к. 5/2, 632088;квартира;190;5441556;3;требует ремонта;77769517802;сдается;06.09.2020
96;ст. Вуктыл, алл. Украинская, д. 1/9, 976765;квартира;143;11076381;2;жилое;+7 (821) 693-61-07;продается;06.08.2020
97;д. Листвянка (Иркут.), наб. Восточная, д. 7/1, 796370;земельный участок;135;12350418;2;новостройка;+7 (476) 688-8415;зарезервирован;20.06.2023
98;ст. Новосибирск, пер. Запрудный, д. 5 к. 7/7, 588337;земельный участок;94;2253492;5;требует ремонта;75708174131;продается;18.12.2020
99;клх Кимры, бул. Некрасова, д. 1 к. 98, 165599;дом;156;16317933;4;новостройка;88939474948;продается;23.03.2022
100;д. Уварово, наб. Городская, д. 720, 343697;квартира;111;6715758;5;требует ремонта;8 169 476 08 00;сдается;21.09.2020
101;п. Баргузин, ш. Космическое, д. 7/7 стр. 4/5, 360845;квартира;94;3978813;3;требует ремонта;70738277718;зарезервирован;25.11.2022
102;к. Серов, алл. Балтийская, д. 5/9 стр. 159, 405891;земельный участок;55;4270029;3;требует ремонта;8 (452) 167-20-88;сдается;06.09.2020
103;клх Кондопога, алл. Калинина, д. 8, 434195;квартира;135;17427068;1;новостройка;+7 (576) 466-3333;сдается;03.08.2021
104;к. Соль-Илецк, наб. Ручейная, д. 512, 534998;земельный участок;76;13149811;3;новостройка;77780020441;продается;30.10.2021
105;ст. Миасс, пр. Енисейский, д. 7 стр. 49, 379072;дом;64;15605688;2;новостройка;+7 878 686 34 99;продается;31.12.2020
106;п. Воскресенск, ш. Ягодное, д. 5 стр. 1/7, 037911;дом;163;11788215;2;новостройка;83 055 021 131;продается;29.04.2023
107;ст. Амдерма, ш. Белорусское, д. 1/3 стр. 5, 000332;квартира;98;8943270;4;требует ремонта;81357361669;продается;28.12.2022
108;г. Катайск, пер. М.Горького, д. 29, 427680;дом;78;8810835;3;требует ремонта;87 880 624 972;продается;09.01.2022
109;п. Териберка, ш. Глинки, д. 122, 956045;дом;122;19698202;3;требует ремонта;8 (737) 841-23-75;зарезервирован;03.11.2022
110;к. Медногорск, бул. Волгоградский, д. 9 стр. 457, 380117;земельный участок;130;8807418;4;жилое;8 941 930 16 62;зарезервирован;31.10.2021
111;г. Псков, ш. Студенческое, д. 155, 500608;земельный участок;98;3644963;3;требует ремонта;8 (588) 741-8964;зарезервирован;10.04.2022
112;п. Кызыл, пер. Транспортный, д. 972, 800370;земельный участок;97;13377588;1;новостройка;80 077 802 676;сдается;14.12.2020
113;с. Астрахань, пер. Большевистский, д. 225 к. 534, 489843;дом;144;11788752;4;жилое;76418347075;сдается;25.12.2022
114;д. Вытегра, ул. Магистральная, д. 5/6 к. 4, 332090;земельный участок;184;19905980;3;новостройка;83 811 112 184;зарезервирован;27.11.2021
115;ст. Хужир, наб. Ударная, д. 596 к. 9, 680534;земельный участок;146;11121679;1;жилое;79 510 322 413;продается;17.08.2020
116;с. Новгород Великий, пр. Белинского, д. 59 стр. 39, 590841;дом;151;10956513;2;новостройка;87 064 164 085;продается;04.01.2021
117;к. Ряжск, алл. Ростовская, д. 6/7 стр. 10, 666087;квартира;62;15189854;5;жилое;8 (007) 100-02-04;сдается;22.11.2022
118;с. Миасс, наб. Курганная, д. 6/4 к. 56, 220781;квартира;185;12319983;5;жилое;8 (318) 229-1716;продается;03.10.2022
119;д. Александровск, ул. Надежды, д. 6 стр. 411, 049671;дом;46;19170233;5;жилое;+7 (174) 178-7703;зарезервирован;14.03.2022
120;ст. Сосьва (Хант.), бул. Новый, д. 832, 943910;земельный участок;65;13043180;1;новостройка;8 541 048 73 80;сдается;23.04.2021
121;д. Пышма, бул. Просторный, д. 762, 551862;квартира;130;8697030;4;новостройка;8 (891) 019-0420;зарезервирован;16.07.2022
122;клх Далматово, ул. Щорса, д. 2 к. 7/9, 846242;дом;183;9159225;4;новостройка;86 867 171 886;продается;12.05.2022
123;п. Сеймчан, алл. Ручейная, д. 2 стр. 210, 323079;дом;143;19300477;3;жилое;8 (145) 105-74-97;сдается;14.06.2022
124;ст. Новочеркасск, пр. Курчатова, д. 461 к. 631, 726074;земельный участок;53;2467458;5;новостройка;87739564148;зарезервирован;06.01.2022
125;г. Славгород, ш. Дружбы, д. 4 к. 64, 236764;земельный участок;74;17504931;1;требует ремонта;8 (674) 665-07-38;продается;13.09.2021
126;к. Москва, бул. Прохладный, д. 375 к. 57, 270559;земельный участок;30;1910589;4;новостройка;78246330376;продается;04.05.2021
127;п. Поярково, ш. Почтовое, д. 6 стр. 4, 755947;квартира;84;18994888;1;жилое;+7 (546) 642-7937;сдается;15.12.2022
128;г. Игарка, бул. Заливный, д. 8 стр. 17, 096069;земельный участок;177;13376908;4;новостройка;80 690 589 567;зарезервирован;08.08.2020
129;г. Холмогоры, ш. Республиканское, д. 3/2 к. 557, 865080;квартира;181;11562911;3;жилое;8 276 608 21 71;зарезервирован;06.04.2022
130;г. Токсово, пр. Ростовский, д. 157 стр. 130, 815444;квартира;57;9455175;2;новостройка;8 (077) 978-12-63;продается;30.10.2020
131;д. Урус-Мартан, ш. Кедровое, д. 4/8 к. 28, 597441;земельный участок;30;9223197;3;новостройка;75 045 454 177;сдается;09.03.2022
132;к. Октябрьское (Хант.), алл. Ударная, д. 58 стр. 6/9, 971860;дом;80;1170447;3;требует ремонта;8 (043) 784-87-77;сдается;13.10.2022
133;д. Новомосковск, пр. Пугачева, д. 981 стр. 80, 006369;дом;115;2414182;4;жилое;8 (874) 647-28-68;зарезервирован;28.06.2022
134;с. Адлер, наб. Надежды, д. 7/4 стр. 402, 066681;квартира;188;14825826;2;новостройка;+7 (918) 648-04-61;продается;23.10.2022
135;клх Тулун, пр. Колхозный, д. 6/4, 054380;дом;80;10276313;1;новостройка;+7 (798) 583-9929;сдается;14.08.2022
136;с. Калач, бул. Приозерный, д. 9/9 к. 643, 987720;земельный участок;117;10989215;5;жилое;+7 (898) 391-45-45;сдается;29.05.2023
137;к. Ревда (Сверд.), пер. Песочный, д. 8 стр. 5, 354469;квартира;167;13234251;4;жилое;+7 (765) 076-01-08;зарезервирован;11.04.2023
138;п. Волоколамск, бул. Шахтерский, д. 9/4 стр. 1/1, 609827;квартира;66;3715475;3;новостройка;89 653 395 853;зарезервирован;22.03.2021
139;п. Иркутск, алл. Гоголя, д. 44, 630139;дом;160;2777070;1;жилое;8 (820) 915-21-64;продается;02.12.2021
140;д. Щелково, ш. Февральское, д. 4/5 стр. 82, 826262;квартира;76;7229486;5;жилое;+7 (973) 086-3291;зарезервирован;07.11.2022
141;ст. Североуральск, пр. Луначарского, д. 26 стр. 75, 565776;земельный участок;62;18049433;1;новостройка;+7 (767) 561-16-88;продается;03.06.2023
142;г. Омск, ул. Моховая, д. 272 к. 4/6, 920117;земельный участок;21;1211731;3;новостройка;8 (803) 519-12-72;сдается;04.01.2022
143;п. Саров (Морд.), пер. Луначарского, д. 3/3 стр. 5/1, 635293;квартира;170;15922241;2;новостройка;8 (086) 212-72-70;зарезервирован;28.05.2023
144;п. Бавлы, пер. Коммуны, д. 1, 631473;дом;104;13929999;5;жилое;8 (081) 937-12-31;сдается;01.07.2021
145;к. Ногинск (Моск.), алл. Коминтерна, д. 54 к. 2, 430949;земельный участок;36;15347439;1;требует ремонта;84597373441;продается;15.05.2021
146;клх Южно-Сахалинск, бул. Волгоградский, д. 330, 902138;земельный участок;187;13167429;4;жилое;+7 (947) 610-81-63;зарезервирован;11.10.2022
147;д. Артем, бул. Механический, д. 821 к. 645, 858525;квартира;105;14888130;2;новостройка;+7 005 603 10 57;сдается;15.08.2021
148;ст. Енисейск, ул. 1 Мая, д. 17 к. 25, 775511;дом;83;3826814;5;жилое;8 832 357 24 04;зарезервирован;25.10.2020
149;клх Березники, наб. Дачная, д. 1 к. 4/7, 893453;земельный участок;126;1389954;3;требует ремонта;79514947856;продается;22.09.2020
150;с. Новочеркасск, пр. Сибирский, д. 57, 472594;земельный участок;176;13646229;1;жилое;76496872415;зарезервирован;29.01.2022
151;ст. Сусуман, ул. Тупиковая, д. 9/1, 938674;квартира;114;14769047;4;требует ремонта;+7 (541) 098-57-13;зарезервирован;22.07.2021
152;п. Глазов, бул. Новостройка, д. 91, 695784;квартира;170;19009873;2;жилое;72 612 361 709;зарезервирован;26.07.2020
153;п. Зарайск, ул. Попова, д. 783, 001377;земельный участок;151;19676827;5;требует ремонта;+7 638 324 70 44;продается;20.04.2022
154;д. Карачаевск, пер. Моховой, д. 34 стр. 589, 202598;земельный участок;53;17254113;3;жилое;70332339667;продается;25.03.2023
155;ст. Петрозаводск, наб. Серафимовича, д. 836 к. 9, 260895;земельный участок;160;8341950;5;новостройка;8 (459) 562-0339;продается;28.02.2021
156;г. Дно, пр. Российский, д. 33 к. 3/5, 058959;дом;23;4026888;5;новостройка;+7 929 919 92 53;зарезервирован;12.08.2020
157;к. Тамбов, бул. Громова, д. 4, 392300;квартира;112;2859100;3;жилое;+7 (851) 467-84-09;зарезервирован;19.10.2021
158;клх Оленегорск (Якут.), пр. Окружной, д. 102 стр. 18, 533721;квартира;39;8087166;2;требует ремонта;+7 (399) 966-53-61;сдается;10.09.2022
159;клх Лодейное Поле, пр. З.Космодемьянской, д. 7/3, 452935;квартира;148;3242744;1;жилое;72 347 000 721;продается;25.08.2020
160;с. Сорочинск, алл. Зои Космодемьянской, д. 8/2, 946924;земельный участок;111;18554205;3;требует ремонта;8 (478) 646-55-76;сдается;04.12.2022
161;п. Агата, ш. Щетинкина, д. 4/1 к. 4, 596084;дом;70;13395077;4;жилое;8 224 774 80 29;сдается;12.10.2022
162;с. Назрань, бул. Харьковский, д. 575 стр. 72, 025251;дом;70;12091539;4;требует ремонта;87751851852;сдается;15.01.2021
163;с. Югорск, алл. Бригадная, д. 871, 244799;дом;173;1078101;1;новостройка;8 (651) 020-45-01;зарезервирован;21.12.2022
164;клх Сеймчан, наб. Малая, д. 6/4 к. 76, 668728;земельный участок;114;15939108;3;новостройка;87735390345;продается;14.10.2021
165;д. Славгород, ул. Верхняя, д. 8 стр. 5, 652197;квартира;129;18081883;4;новостройка;71 631 417 614;зарезервирован;21.01.2022
166;п. Горно-Алтайск, ш. Королева, д. 45 стр. 470, 151979;дом;130;11515443;2;новостройка;75859293879;продается;12.02.2022
167;п. Колпашево, бул. Мира, д. 9 стр. 6, 559967;дом;136;12324450;3;требует ремонта;87290452070;сдается;13.06.2023
168;п. Буйнакск, ул. Красная, д. 9, 375460;земельный участок;81;10035290;4;новостройка;80 580 889 884;зарезервирован;28.12.2020
169;г. Нефедова, пр. Пограничный, д. 90 стр. 52, 089671;земельный участок;94;9779715;5;новостройка;+7 (395) 331-8845;зарезервирован;18.07.2023
170;к. Рубцовск, ул. Крестьянская, д. 5/8 стр. 462, 751888;земельный участок;186;2280358;2;требует ремонта;8 (586) 550-08-16;зарезервирован;09.09.2020
171;г. Кабанск, бул. Блюхера, д. 63 стр. 2, 691029;дом;184;15258008;2;жилое;+7 (506) 701-32-54;сдается;05.04.2022
172;г. Азов (Рост.), пр. Жуковского, д. 876 к. 7, 591009;квартира;118;3189964;4;требует ремонта;8 420 933 98 22;зарезервирован;13.09.2020
173;клх Волгоград, алл. Жукова, д. 81 стр. 5, 618194;дом;111;4110028;1;требует ремонта;71 229 171 880;зарезервирован;02.11.2021
174;к. Казань, ш. Кубанское, д. 235, 001838;дом;128;8017081;5;новостройка;75096476199;сдается;25.07.2021
175;к. Мурманск, ул. Спартака, д. 19, 679238;дом;121;17050532;1;требует ремонта;+7 (937) 461-47-37;продается;07.03.2021
176;п. Рубцовск, пер. Ломоносова, д. 4/8 стр. 8/1, 586999;земельный участок;45;16750799;2;жилое;88 099 033 923;зарезервирован;01.05.2022
177;ст. Новая Игирма, наб. Вахитова, д. 7, 658967;дом;120;18676045;2;жилое;79 051 859 117;сдается;28.04.2022
178;с. Билибино, алл. Урожайная, д. 6/6 к. 4/9, 311000;квартира;87;8032789;3;требует ремонта;72 561 707 228;сдается;14.01.2023
179;клх Амурск, бул. Чехова, д. 6 стр. 8/7, 945566;земельный участок;34;12004613;3;требует ремонта;76659577543;зарезервирован;09.09.2020
180;д. Сосьва (Хант.), пер. Учительский, д. 1/2, 780542;квартира;121;4365488;1;новостройка;+7 (562) 126-30-86;сдается;15.07.2021
181;п. Воткинск, ш. Нахимова, д. 6/3 стр. 4, 154139;квартира;170;13146521;5;новостройка;79944678512;продается;07.10.2022
182;д. Оленек, пр. Труда, д. 4, 029552;квартира;191;19498140;1;новостройка;82719310563;зарезервирован;01.11.2020
183;г. Внуково (метеост.), алл. Производственная, д. 6 к. 4/1, 531105;квартира;168;8164594;3;новостройка;87 938 574 411;зарезервирован;06.11.2020
184;д. Соловки, ул. Кошевого, д. 4/5, 077729;дом;121;16177580;4;жилое;81 801 870 910;продается;31.12.2022
185;п. Костомукша, пер. З.Космодемьянской, д. 293, 097719;земельный участок;70;19405112;2;требует ремонта;82751694383;сдается;30.12.2022
186;д. Грозный, бул. Машиностроителей, д. 7/5 стр. 17, 701205;квартира;36;14850778;5;новостройка;+7 (918) 908-98-47;сдается;08.08.2020
187;с. Белогорск (Амур.), наб. Новосельская, д. 3 стр. 1/3, 920602;земельный участок;169;6593109;5;требует ремонта;8 (251) 190-8120;зарезервирован;23.10.2020
188;клх Армавир, алл. Коллективная, д. 74 к. 630, 633640;квартира;69;19530920;1;новостройка;82534669764;продается;12.09.2022
189;г. Объячево, пр. Энгельса, д. 6/7 к. 2/4, 056150;земельный участок;78;14723105;3;требует ремонта;8 436 112 42 11;продается;05.06.2021
190;ст. Салехард, ул. Бригадная, д. 66, 711133;земельный участок;198;13944979;3;новостройка;8 969 210 68 73;зарезервирован;30.07.2022
191;ст. Шереметьево, пер. Украинский, д. 362 стр. 8, 064600;земельный участок;162;10264260;4;требует ремонта;8 (573) 932-06-02;сдается;09.03.2023
192;ст. Шамары, пр. Горный, д. 820 к. 23, 586159;земельный участок;121;6264333;5;требует ремонта;+7 (929) 884-16-97;сдается;02.08.2022
193;г. Аршан (Бурят.), ш. Береговое, д. 3/8, 633632;дом;79;4729913;2;жилое;+7 (036) 365-5572;сдается;08.08.2022
